1.250          87.065                 121                 120                 120                 500.000   
1.260          86.659                 121                 120                 120                 500.000   
1.270          86.255                 121                 123                 123                 500.000   
1.280          85.854                 121                 123                 123                 500.000   
1.290          85.455                 121                 123                 123                 500.000   
1.300          85.058                 121                 129                 129                 500.000   
1.310          84.664                 121                 129                 129                 500.000   
1.320          84.273                 121                 129                 129                 500.000   
1.330          83.883                 121                 129                 129                 500.000   
1.340          83.497                 121                 129                 129                 500.000   
1.350          83.113                 127                 129                 129                 500.000   
1.360          82.731                 127                 135                 135                 500.000   
1.370          82.352                 127                 135                 135                 500.000   
1.380          81.975                 139                 135                 135                 500.000   
1.390          81.600                 139                 141                 141                 500.000   
1.400          81.229                 139                 141                 141                 500.000   
1.410          80.859                 139                 141                 141                 500.000   
1.420          80.492                 139                 141                 141                 500.000   
1.430          80.127                 139                 141                 141                 500.000   
1.440          79.765                 151                 141                 141                 500.000   
1.450          79.405                 151                 141                 141                 500.000   
1.460          79.048                 151                 141                 141                 500.000   
1.470          78.693                 151                 144                 144                 500.000   
1.480          78.340                 151                 144                 144                 500.000   
1.490          77.989                 151                 144                 144                 500.000   
1.500          77.641                 151                 150                 150                 500.000   
1.510          77.296                 151                 150                 150                 500.000   
1.520          76.952                 151                 150                 150                 500.000   
1.530          76.611                 151                 156                 156                 500.000   
1.540          76.272                 151                 156                 156                 500.000   
1.550          75.936                 163                 156                 156                 500.000   
1.560          75.602                 163                 156                 156                 500.000   
1.570          75.270                 163                 156                 156                 500.000   
1.580          74.940                 163                 168                 168                 500.000   
1.590          74.613                 163                 168                 168                 500.000   
1.600          74.288                 163                 168                 168                 500.000   
1.610          73.965                 163                 168                 168                 500.000   
1.620          73.644                 163                 168                 168                 500.000   
1.630          73.325                 163                 174                 174                 500.000   
1.640          73.009                 163                 174                 174                 500.000   
1.650          72.695                 163                 174                 174                 500.000   
1.660          72.383                 163                 174                 174                 500.000   
1.670          72.073                 169                 174                 174                 500.000   
1.680          71.765                 169                 174                 174                 500.000   
1.690          71.459                 169                 174                 174                 500.000   
1.700          71.155                 187                 180                 180                 500.000   
1.710          70.854                 187                 180                 180                 500.000   
1.720          70.554                 187                 180                 180                 500.000   
1.730          70.257                 187                 186                 186                 500.000   
1.740          69.962                 187                 186                 186                 500.000   
1.750          69.668                 187                 186                 186                 500.000   
1.760          69.377                 187                 186                 186                 500.000   
1.770          69.087                 199                 192                 192                 500.000   
1.780          68.800                 199                 192                 192                 500.000   
1.790          68.515                 199                 192                 192                 500.000   
1.800          68.231                 199                 192                 192                 500.000   
1.810          67.950                 199                 192                 192                 500.000   
1.820          67.670                 199                 198                 198                 500.000   
1.830          67.392                 199                 198                 198                 500.000   
1.840          67.117                 199                 198                 198                 500.000   
1.850          66.843                 199                 198                 198                 500.000   
1.860          66.571                 199                 207                 207                 500.000   
1.870          66.301                 199                 207                 207                 500.000   
1.880          66.032                 211                 213                 213                 500.000   
1.890          65.766                 211                 213                 213                 500.000   
1.900          65.501                 211                 213                 213                 500.000   
1.910          65.238                 211                 219                 219                 500.000   
1.920          64.977                 211                 219                 219                 500.000   
1.930          64.718                 211                 219                 219                 500.000   
1.940          64.460                 211                 219                 219                 500.000   
1.950          64.204                 211                 225                 225                 500.000   
1.960          63.950                 223                 225                 225                 500.000   
1.970          63.698                 223                 225                 225                 500.000   
1.980          63.447                 223                 225                 225                 500.000   
1.990          63.198                 223                 225                 225                 500.000   
2.000          62.951                 235                 225                 225                 500.000   
2.010          62.705                 235                 225                 225                 500.000   
2.020          62.461                 241                 225                 225                 500.000   
2.030          62.219                 241                 231                 231                 500.000   
2.040          61.978                 241                 231                 231                 500.000   
2.050          61.739                 241                 240                 240                 500.000   
2.060          61.501                 241                 240                 240                 500.000   
2.070          61.265                 241                 246                 246                 500.000   
2.080          61.031                 253                 246                 246                 500.000   
2.090          60.798                 253                 246                 246                 500.000   
2.100          60.567                 253                 246                 246                 500.000   
2.110          60.337                 253                 246                 246                 500.000   
2.120          60.109                 253                 246                 246                 500.000   
