0.01       -74126643.5043048         -74126643.5043048         -74126644.5995196         IE: -7.398869158883741        FE: -7.398869268201398       
0.02       -74127284.2032238         -74127284.2032238         -74127284.2444874         IE: -7.398933109539643        FE: -7.398933113658325       
0.03       -74128301.2337013         -74128301.2337013         -74128301.512557          IE: -7.39903462331496         FE: -7.399034651148633       
0.04       -74129547.2842254         -74129547.2842254         -74129547.6195512         IE: -7.3991589964736155       FE: -7.39915902994379        
0.06       -74132123.0964644         -74132123.0964644         -74132123.2992894         IE: -7.399416098331101        FE: -7.399416118575856       
0.07       -74133218.9342768         -74133218.9342768         -74133219.1555314         IE: -7.399525478173626        FE: -7.3995255002579094      
0.09       -74134463.8694222         -74134463.8694222         -74134464.1800592         IE: -7.399649740001986        FE: -7.3996497710078755      
0.10       -74134589.2880474         -74134589.2880474         -74134589.4595707         IE: -7.399662258523723        FE: -7.399662275644132       
0.11       -74134465.1794998         -74134465.1794998         -74134466.4934931         IE: -7.399649870765938        FE: -7.399650001920729       
0.12       -74134170.639852          -74134170.639852          -74134172.1605925         IE: -7.399620471615872        FE: -7.399620623406907       
0.13       -74133806.0053313         -74133806.0053313         -74133807.6415502         IE: -7.399584076023384        FE: -7.399584239340769       
0.14       -74133476.2115106         -74133476.2115106         -74133476.4494239         IE: -7.399551158016937        FE: -7.39955118176399        
0.15       -74133251.2874296         -74133251.2874296         -74133252.0458589         IE: -7.399528707467886        FE: -7.3995287831696706      
0.16       -74133147.2085232         -74133147.2085232         -74133148.8818192         IE: -7.399518318946644        FE: -7.399518485964839       
0.17       -74133164.3237089         -74133164.3237089         -74133165.9238816         IE: -7.399520027280027        FE: -7.3995201869995         
0.18       -74133286.2207049         -74133286.2207049         -74133287.5605561         IE: -7.3995321942942285       FE: -7.399532328029998       
0.19       -74133467.7294151         -74133467.7294151         -74133468.9646855         IE: -7.399550311385931        FE: -7.399550434683083       
0.20       -74133653.7301566         -74133653.7301566         -74133654.4341151         IE: -7.399568876844783        FE: -7.399568947109624       
0.21       -74133803.6733437         -74133803.6733437         -74133804.9379976         IE: -7.399583843258615        FE: -7.399583969488648       
0.22       -74133890.0541829         -74133890.0541829         -74133890.6491827         IE: -7.3995924652668          FE: -7.399592524656049       
0.23       -74133897.5570389         -74133897.5570389         -74133898.7014307         IE: -7.399593214156097        FE: -7.3995933283823         
0.24       -74133831.3885757         -74133831.3885757         -74133832.0491796         IE: -7.399586609623927        FE: -7.399586675561376       
0.25       -74133715.6668427         -74133715.6668427         -74133716.8762017         IE: -7.399575058986789        FE: -7.399575179697624       
0.26       -74133586.3162133         -74133586.3162133         -74133587.6697476         IE: -7.39956214799639         FE: -7.399562283097924       
0.27       -74133477.1111072         -74133477.1111072         -74133478.3562708         IE: -7.39955124780918         FE: -7.3995513720938115      
0.28       -74133413.5652551         -74133413.5652551         -74133414.5750766         IE: -7.399544905050044        FE: -7.399545005844263       
0.29       -74133405.3715158         -74133405.3715158         -74133406.2246832         IE: -7.399544087200994        FE: -7.399544172358956       
0.30       -74133447.2442415         -74133447.2442415         -74133448.2593944         IE: -7.399548266680924        FE: -7.3995483680072915      
0.31       -74133525.1648025         -74133525.1648025         -74133526.0739106         IE: -7.399556044235773        FE: -7.399556134977394       
0.32       -74133616.0104928         -74133616.0104928         -74133616.1195599         IE: -7.399565111898146        FE: -7.3995651227845585      
0.33       -74133694.8147076         -74133694.8147076         -74133695.2471404         IE: -7.399572977653925        FE: -7.399573020816726       
0.34       -74133744.7105367         -74133744.7105367         -74133745.640618          IE: -7.39957795795107         FE: -7.399578050786109       
0.35       -74133758.6959998         -74133758.6959998         -74133759.5658176         IE: -7.3995793538946435       FE: -7.399579440714547       
0.36       -74133736.1139326         -74133736.1139326         -74133736.5124291         IE: -7.3995770998905135       FE: -7.399577139666003       
0.37       -74133681.7776306         -74133681.7776306         -74133682.4283292         IE: -7.399571676372464        FE: -7.3995717413212265      
0.38       -74133611.5725494         -74133611.5725494         -74133611.6397113         IE: -7.399564668929721        FE: -7.399564675633412       
0.39       -74133546.2929833         -74133546.2929833         -74133546.5047848         IE: -7.399558153121833        FE: -7.399558174262567       
0.40       -74133501.5684808         -74133501.5684808         -74133503.2776036         IE: -7.399553688994949        FE: -7.3995538595891555      
0.41       -74133485.8550297         -74133485.8550297         -74133487.187114          IE: -7.3995521205741595       FE: -7.399552253534685       
0.42       -74133502.5272871         -74133502.5272871         -74133502.530957          IE: -7.399553784697142        FE: -7.399553785063449       
0.43       -74133546.6286949         -74133546.6286949         -74133547.7921261         IE: -7.399558186630518        FE: -7.39955830275712        
0.44       -74133603.2553215         -74133603.2553215         -74133604.2725223         IE: -7.399563838754792        FE: -7.399563940285567       
0.45       -74133655.4974735         -74133655.4974735         -74133657.0136565         IE: -7.3995690532475695       FE: -7.399569204583703       
0.47       -74133706.2802414         -74133706.2802414         -74133707.5236388         IE: -7.399574122073534        FE: -7.399574246181874       
0.48       -74133695.1748275         -74133695.1748275         -74133695.3106823         IE: -7.399573013598895        FE: -7.399573027159091       
0.49       -74133662.3011048         -74133662.3011048         -74133662.9606326         IE: -7.399569732344523        FE: -7.399569798174564       
0.50       -74133618.8738041         -74133618.8738041         -74133619.7689312         IE: -7.3995653976964055       FE: -7.399565487042529       
0.51       -74133575.4351801         -74133575.4351801         -74133575.8010835         IE: -7.399561061918064        FE: -7.399561098440309       
0.52       -74133542.4638419         -74133542.4638419         -74133544.1757557         IE: -7.3995577709203095       FE: -7.399557941793097       
0.53       -74133527.7564817         -74133527.7564817         -74133529.190014          IE: -7.399556302921374        FE: -7.399556446007819       
0.54       -74133533.6061398         -74133533.6061398         -74133534.4999288         IE: -7.3995568867985435       FE: -7.399556976011108       
0.55       -74133558.9209627         -74133558.9209627         -74133559.8254854         IE: -7.39955941356967         FE: -7.399559503853604       
0.56       -74133595.8381204         -74133595.8381204         -74133595.9848315         IE: -7.399563098415046        FE: -7.399563113058852       
0.57       -74133634.2565865         -74133634.2565865         -74133634.7804068         IE: -7.399566933111863        FE: -7.399566985396409       
0.58       -74133663.748987          -74133663.748987          -74133664.8757302         IE: -7.399569876863289        FE: -7.399569989327918       
