0.00        -47817768.7885221  -47817768.7885221  -47817944.5950941 IE: -6.9216038647  FE:  -6.9216293126
0.01        -47817768.5749252  -47817768.5749252   -47817944.408192 IE: -6.9216038337  FE:  -6.9216292855
0.02        -47817768.0588111  -47817768.0588111   -47817943.892437 IE: -6.9216037590  FE:  -6.9216292109
0.03        -47817767.4338335  -47817767.4338335  -47817943.2660064 IE: -6.9216036686  FE:  -6.9216291202
0.04        -47817767.0103581  -47817767.0103581  -47817942.7949432 IE: -6.9216036073  FE:  -6.9216290520
0.05         -47817766.707981   -47817766.707981  -47817942.6293395 IE: -6.9216035635  FE:  -6.9216290281
0.06        -47817767.0326756  -47817767.0326756  -47817942.8334709 IE: -6.9216036105  FE:  -6.9216290576
0.07         -47817767.695766   -47817767.695766  -47817943.4683078 IE: -6.9216037065  FE:  -6.9216291495
0.08        -47817768.5628923  -47817768.5628923  -47817944.3735733 IE: -6.9216038320  FE:  -6.9216292805
0.09        -47817769.4430385  -47817769.4430385  -47817945.1912696 IE: -6.9216039594  FE:  -6.9216293989
0.10        -47817769.8242994  -47817769.8242994  -47817945.5848226 IE: -6.9216040146  FE:  -6.9216294559
0.11        -47817769.6862626  -47817769.6862626  -47817945.4679666 IE: -6.9216039946  FE:  -6.9216294389
0.12        -47817768.9741566  -47817768.9741566  -47817944.7937115 IE: -6.9216038915  FE:  -6.9216293413
0.13        -47817767.9879168  -47817767.9879168  -47817943.8233903 IE: -6.9216037488  FE:  -6.9216292009
0.14        -47817767.0219129  -47817767.0219129  -47817942.8591899 IE: -6.9216036089  FE:  -6.9216290613
0.15        -47817766.3562124  -47817766.3562124  -47817942.1914674 IE: -6.9216035126  FE:  -6.9216289647
0.16         -47817766.257041   -47817766.257041  -47817942.1027823 IE: -6.9216034982  FE:  -6.9216289518
0.17         -47817766.951981   -47817766.951981  -47817942.7591653 IE: -6.9216035988  FE:  -6.9216290468
0.18        -47817768.1873955  -47817768.1873955  -47817943.9684412 IE: -6.9216037776  FE:  -6.9216292219
0.19        -47817769.4829997  -47817769.4829997  -47817945.2372454 IE: -6.9216039652  FE:  -6.9216294055
0.20        -47817770.2970058  -47817770.2970058  -47817946.0188682 IE: -6.9216040830  FE:  -6.9216295187
