0.00        -154054792.000867  -154054792.000867  -154054792.068756 IE:   FE:  
0.01        -154054791.681456  -154054791.681456  -154055044.372415 IE:   FE:  
0.02         -154054791.71502   -154054791.71502  -154054791.735547 IE:   FE:  
0.03        -154054793.122454  -154054793.122454  -154054793.197026 IE:   FE:  
0.04        -154054794.513384  -154054794.513384  -154054794.724432 IE:   FE:  
0.05        -154054793.715544  -154054793.715544  -154054793.715884 IE:   FE:  
0.06        -154054791.150179  -154054791.150179  -154054791.186392 IE:   FE:  
0.07        -154054789.216453  -154054789.216453  -154054789.302829 IE:   FE:  
0.08        -154054789.632549  -154054789.632549  -154054789.653422 IE:   FE:  
0.09        -154054790.535109  -154054790.535109   -154054790.57988 IE:   FE:  
0.10        -154054788.857896  -154054788.857896  -154054789.024082 IE:   FE:  
0.11        -154054785.336057  -154054785.336057  -154054785.558718 IE:   FE:  
0.12        -154054783.243634  -154054783.243634  -154054783.305229 IE:   FE:  
0.13        -154054784.011002  -154054784.011002  -154054784.116671 IE:   FE:  
0.14        -154054784.695846  -154054784.695846  -154054784.730563 IE:   FE:  
0.15        -154054782.020716  -154054782.020716  -154054782.058347 IE:   FE:  
0.16        -154054777.541043  -154054777.541043  -154054777.719926 IE:   FE:  
0.17        -154054775.558251  -154054775.558251  -154054775.684628 IE:   FE:  
0.18        -154054777.103071  -154054777.103071  -154054777.243501 IE:   FE:  
0.19        -154054778.083296  -154054778.083296  -154054778.268689 IE:   FE:  
0.20        -154054774.808811  -154054774.808811  -154054774.854632 IE:   FE:  
0.21        -154054769.789554  -154054769.789554  -154054769.879223 IE:   FE:  
0.22        -154054768.064171  -154054768.064171  -154054768.080837 IE:   FE:  
0.23        -154054770.517396  -154054770.517396  -154054770.553488 IE:   FE:  
0.24        -154054772.709669  -154054772.709669  -154054772.819527 IE:   FE:  
0.25        -154054770.298316  -154054770.298316  -154054770.388522 IE:   FE:  
0.26        -154054765.152125  -154054765.152125   -154054765.32622 IE:   FE:  
0.27        -154054763.268082  -154054763.268082    -154054763.3309 IE:   FE:  
0.28         -154054766.35939   -154054766.35939  -154054766.439183 IE:   FE:  
0.29        -154054769.625072  -154054769.625072  -154054769.779674 IE:   FE:  
0.30        -154054768.263297  -154054768.263297  -154054768.364466 IE:   FE:  
0.31        -154054764.110309  -154054764.110309  -154054764.218324 IE:   FE:  
0.32        -154054762.660614  -154054762.660614   -154054762.76376 IE:   FE:  
0.33        -154054765.755863  -154054765.755863  -154054765.854109 IE:   FE:  
0.34        -154054769.501495  -154054769.501495  -154054769.564304 IE:   FE:  
0.35        -154054769.644219  -154054769.644219  -154054769.771823 IE:   FE:  
0.36        -154054767.167842  -154054767.167842  -154054767.379181 IE:   FE:  
0.38        -154054769.078049  -154054769.078049   -154054769.14966 IE:   FE:  
0.39        -154054772.236947  -154054772.236947  -154054772.272107 IE:   FE:  
0.40        -154054773.447611  -154054773.447611  -154054773.592159 IE:   FE:  
0.41        -154054773.325158  -154054773.325158  -154054773.478353 IE:   FE:  
0.42        -154054773.897248  -154054773.897248  -154054773.983314 IE:   FE:  
0.43        -154054775.116106  -154054775.116106  -154054775.267685 IE:   FE:  
0.44        -154054776.168673  -154054776.168673  -154054776.209716 IE:   FE:  
0.45        -154054777.514946  -154054777.514946  -154054777.695639 IE:   FE:  
0.46        -154054780.530581  -154054780.530581  -154054780.602193 IE:   FE:  
0.47        -154054783.335306  -154054783.335306  -154054783.501474 IE:   FE:  
0.48        -154054782.533682  -154054782.533682  -154054782.684361 IE:   FE:  
0.49        -154054778.610535  -154054778.610535  -154054778.679181 IE:   FE:  
0.50        -154054778.340206  -154054778.340206  -154054778.420444 IE:   FE:  
0.51        -154054785.469367  -154054785.469367  -154054785.638582 IE:   FE:  
0.52        -154054793.246108  -154054793.246108  -154054793.338037 IE:   FE:  
0.53        -154054790.138061  -154054790.138061  -154054790.303795 IE:   FE:  
0.54        -154054776.187903  -154054776.187903  -154054776.402325 IE:   FE:  
0.55         -154054768.68078   -154054768.68078  -154054768.686729 IE:   FE:  
0.56        -154054782.561109  -154054782.561109  -154054782.651983 IE:   FE:  
0.57        -154054805.825241  -154054805.825241  -154054805.881531 IE:   FE:  
0.58        -154054803.954929  -154054803.954929   -154054804.07931 IE:   FE:  
0.59        -154054754.978349  -154054754.978349  -154054755.037715 IE:   FE:  
0.60         -154054680.29243   -154054680.29243  -154054680.451586 IE:   FE:  
0.61        -154054636.881912  -154054636.881912  -154054636.981321 IE:   FE:  
0.62        -154054660.708195  -154054660.708195  -154054660.856174 IE:   FE:  
0.63        -154054736.074913  -154054736.074913  -154054736.197497 IE:   FE:  
0.64        -154054807.839019  -154054807.839019  -154054807.922128 IE:   FE:  
0.65        -154054831.270258  -154054831.270258  -154054831.356984 IE:   FE:  
0.66         -154054808.46853   -154054808.46853  -154054808.625255 IE:   FE:  
0.67        -154054778.294411  -154054778.294411  -154054778.297412 IE:   FE:  
0.68        -154054770.726365  -154054770.726365  -154054770.809384 IE:   FE:  
0.69        -154054783.545743  -154054783.545743  -154054783.583321 IE:   FE:  
0.70        -154054795.129426  -154054795.129426  -154054795.242864 IE:   FE:  
0.71        -154054792.238917  -154054792.238917  -154054792.288968 IE:   FE:  
0.72        -154054780.848505  -154054780.848505  -154054780.916147 IE:   FE:  
0.73        -154054773.921403  -154054773.921403   -154054774.04617 IE:   FE:  
0.74        -154054775.676412  -154054775.676412  -154054775.682174 IE:   FE:  
0.75        -154054780.528441  -154054780.528441  -154055033.362609 IE:   FE:  
0.76        -154054782.493789  -154054782.493789  -154054782.683587 IE:   FE:  
0.77        -154054779.817772  -154054779.817772  -154054779.910703 IE:   FE:  
0.78        -154054775.453414  -154054775.453414  -154054775.504764 IE:   FE:  
0.79        -154054772.723719  -154054772.723719  -154054772.763176 IE:   FE:  
0.80        -154054772.975062  -154054772.975062   -154054773.02521 IE:   FE:  
0.81         -154054776.26921   -154054776.26921   -154054776.36545 IE:   FE:  
0.82        -154054778.872938  -154054778.872938  -154054778.991426 IE:   FE:  
0.83        -154054777.697494  -154054777.697494  -154054777.878252 IE:   FE:  
0.84        -154054773.350942  -154054773.350942  -154054773.425401 IE:   FE:  
0.85        -154054770.721275  -154054770.721275  -154054771.033095 IE:   FE:  
0.86        -154054773.412426  -154054773.412426  -154054773.541449 IE:   FE:  
0.87        -154054778.933312  -154054778.933312  -154054779.038573 IE:   FE:  
0.88        -154054780.557344  -154054780.557344  -154054780.664944 IE:   FE:  
0.89        -154054776.389151  -154054776.389151   -154054776.44196 IE:   FE:  
0.90        -154054771.929458  -154054771.929458  -154054772.064243 IE:   FE:  
0.91        -154054773.228818  -154054773.228818  -154054773.295081 IE:   FE:  
0.92        -154054779.393211  -154054779.393211  -154054779.463045 IE:   FE:  
0.93        -154054783.009575  -154054783.009575  -154054783.117251 IE:   FE:  
0.94         -154054780.01067   -154054780.01067  -154054780.081884 IE:   FE:  
0.95        -154054774.853477  -154054774.853477   -154054774.91153 IE:   FE:  
0.96        -154054774.266205  -154054774.266205  -154054774.306263 IE:   FE:  
0.97        -154054779.469365  -154054779.469365  -154054779.525307 IE:   FE:  
0.98        -154054783.925404  -154054783.925404  -154054784.008729 IE:   FE:  
0.99        -154054782.601081  -154054782.601081  -154054782.619008 IE:   FE:  
1.00        -154054777.587005  -154054777.587005  -154054777.618032 IE:   FE:  
1.01        -154054775.691937  -154054775.691937  -154054775.819433 IE:   FE:  
1.02        -154054778.978653  -154054778.978653  -154054779.029181 IE:   FE:  
1.03        -154054783.154839  -154054783.154839  -154054783.364762 IE:   FE:  
1.04        -154054783.122691  -154054783.122691   -154054783.28504 IE:   FE:  
1.05         -154054779.55751   -154054779.55751  -154054779.579638 IE:   FE:  
1.07        -154054778.338301  -154054778.338301  -154054778.442902 IE:   FE:  
1.08        -154054781.033755  -154054781.033755  -154054781.100372 IE:   FE:  
1.09        -154054782.036416  -154054782.036416  -154054782.182902 IE:   FE:  
1.10        -154054780.494344  -154054780.494344  -154054780.613059 IE:   FE:  
1.11        -154054778.539172  -154054778.539172  -154054778.646721 IE:   FE:  
1.12        -154054778.070185  -154054778.070185  -154054778.222922 IE:   FE:  
1.13        -154054778.951061  -154054778.951061   -154054779.16266 IE:   FE:  
1.14        -154054780.228786  -154054780.228786  -154054780.274614 IE:   FE:  
1.15        -154054781.001733  -154054781.001733  -154054781.155709 IE:   FE:  
1.16        -154054780.379589  -154054780.379589  -154054780.474938 IE:   FE:  
1.17        -154054778.936938  -154054778.936938  -154054778.976237 IE:   FE:  
1.18        -154054777.765572  -154054777.765572  -154054777.834468 IE:   FE:  
1.19        -154054778.794357  -154054778.794357   -154054778.89652 IE:   FE:  
1.20         -154054781.51631   -154054781.51631   -154054781.67605 IE:   FE:  
1.21         -154054782.61024   -154054782.61024  -154054782.616648 IE:   FE:  
1.22        -154054780.872425  -154054780.872425  -154054781.111187 IE:   FE:  
1.23         -154054777.84607   -154054777.84607  -154054777.989363 IE:   FE:  
1.24        -154054778.580397  -154054778.580397  -154054778.590692 IE:   FE:  
1.25        -154054781.839079  -154054781.839079  -154054781.874618 IE:   FE:  
1.26        -154054784.916324  -154054784.916324  -154054785.064337 IE:   FE:  
1.27        -154054783.313056  -154054783.313056  -154054783.329842 IE:   FE:  
1.28        -154054779.640167  -154054779.640167   -154054779.72578 IE:   FE:  
1.29        -154054778.691565  -154054778.691565  -154054778.857233 IE:   FE:  
1.30        -154054782.497545  -154054782.497545  -154054782.641108 IE:   FE:  
1.31        -154054786.383779  -154054786.383779  -154054786.406541 IE:   FE:  
1.32        -154054785.570942  -154054785.570942  -154054785.682608 IE:   FE:  
1.33        -154054781.469935  -154054781.469935  -154054781.580695 IE:   FE:  
1.34        -154054779.637233  -154054779.637233  -154054779.652673 IE:   FE:  
1.35        -154054782.701644  -154054782.701644  -154054782.878019 IE:   FE:  
1.36        -154054786.795919  -154054786.795919   -154054786.83577 IE:   FE:  
1.37        -154054786.786374  -154054786.786374  -154054786.819071 IE:   FE:  
1.38        -154054783.092572  -154054783.092572  -154054783.110321 IE:   FE:  
1.39        -154054780.709893  -154054780.709893  -154054780.775145 IE:   FE:  
1.40        -154054782.719498  -154054782.719498  -154054782.851215 IE:   FE:  
1.41        -154054786.318664  -154054786.318664  -154054786.477013 IE:   FE:  
1.42        -154054786.945322  -154054786.945322  -154054787.118669 IE:   FE:  
1.43        -154054784.371074  -154054784.371074  -154054784.533782 IE:   FE:  
1.44        -154054782.148416  -154054782.148416  -154054782.197748 IE:   FE:  
1.45        -154054782.915661  -154054782.915661  -154054783.049552 IE:   FE:  
1.46        -154054785.172083  -154054785.172083  -154054785.305722 IE:   FE:  
1.47        -154054786.104176  -154054786.104176   -154054786.25508 IE:   FE:  
1.48        -154054785.299888  -154054785.299888  -154054785.353062 IE:   FE:  
1.49        -154054784.192713  -154054784.192713  -154055037.221349 IE:   FE:  
1.50         -154054783.76521   -154054783.76521   -154054783.83166 IE:   FE:  
