0.00        -142169956.688221  -142169956.688221  -142170206.785852 IE:   FE:  
0.01        -142169966.628417  -142169966.628417  -142170217.263523 IE:   FE:  
0.02         -142169994.51276   -142169994.51276  -142170245.286909 IE:   FE:  
0.03        -142170032.152275  -142170032.152275  -142170283.126858 IE:   FE:  
0.04        -142170071.304213  -142170071.304213  -142170322.475454 IE:   FE:  
0.05        -142170105.620134  -142170105.620134  -142170357.010348 IE:   FE:  
0.06        -142170130.884084  -142170130.884084  -142170382.315131 IE:   FE:  
0.07        -142170142.855533  -142170142.855533  -142170394.349421 IE:   FE:  
0.08        -142170140.108014  -142170140.108014  -142170391.643278 IE:   FE:  
0.09        -142170126.628293  -142170126.628293  -142170378.065483 IE:   FE:  
0.10        -142170109.878761  -142170109.878761  -142170361.264603 IE:   FE:  
0.11        -142170097.169548  -142170097.169548  -142170348.463279 IE:   FE:  
0.12        -142170091.424445  -142170091.424445  -142170342.639667 IE:   FE:  
0.13        -142170091.876808  -142170091.876808   -142170343.13511 IE:   FE:  
0.14        -142170097.142998  -142170097.142998  -142170348.393282 IE:   FE:  
0.15        -142170105.753224  -142170105.753224  -142170357.111857 IE:   FE:  
0.16        -142170115.910193  -142170115.910193  -142170367.293583 IE:   FE:  
0.17        -142170123.408221  -142170123.408221  -142170374.762337 IE:   FE:  
0.18        -142170124.242447  -142170124.242447  -142170375.654148 IE:   FE:  
0.19        -142170118.534333  -142170118.534333  -142170369.946777 IE:   FE:  
0.20        -142170110.002752  -142170110.002752  -142170361.407873 IE:   FE:  
0.21        -142170103.262737  -142170103.262737  -142170354.620124 IE:   FE:  
0.22        -142170100.150065  -142170100.150065  -142170351.455441 IE:   FE:  
0.23        -142170099.836475  -142170099.836475  -142170351.141645 IE:   FE:  
0.24        -142170101.664251  -142170101.664251  -142170352.978315 IE:   FE:  
0.25        -142170105.986375  -142170105.986375  -142170357.324972 IE:   FE:  
0.26        -142170112.485946  -142170112.485946  -142170363.866122 IE:   FE:  
0.27        -142170118.348108  -142170118.348108  -142170369.733224 IE:   FE:  
0.28         -142170119.97549   -142170119.97549  -142170371.320146 IE:   FE:  
0.29         -142170116.39376   -142170116.39376  -142170367.741418 IE:   FE:  
0.30        -142170110.269344  -142170110.269344  -142170361.670888 IE:   FE:  
0.31        -142170105.435375  -142170105.435375   -142170356.82578 IE:   FE:  
0.32        -142170103.520727  -142170103.520727   -142170354.83918 IE:   FE:  
0.33        -142170103.166382  -142170103.166382  -142170354.472923 IE:   FE:  
0.34        -142170103.859695  -142170103.859695  -142170355.196759 IE:   FE:  
0.35        -142170106.284595  -142170106.284595  -142170357.614074 IE:   FE:  
0.36        -142170110.990726  -142170110.990726  -142170362.245448 IE:   FE:  
0.37        -142170116.293837  -142170116.293837  -142170367.582134 IE:   FE:  
0.38        -142170118.342775  -142170118.342775  -142170369.712049 IE:   FE:  
0.39        -142170115.475298  -142170115.475298  -142170366.909182 IE:   FE:  
0.40        -142170110.567239  -142170110.567239  -142170361.960101 IE:   FE:  
0.41        -142170106.642217  -142170106.642217  -142170358.026679 IE:   FE:  
0.42        -142170105.208848  -142170105.208848  -142170356.547073 IE:   FE:  
0.43        -142170105.218417  -142170105.218417  -142170356.531972 IE:   FE:  
