0.00        -1353409.24037604  -1353409.24037604  -1353432.25568442 IE: -6.9121671512  FE:  -6.9122846956
0.01        -1353409.30602627  -1353409.30602627  -1353432.25780489 IE: -6.9121674865  FE:  -6.9122847064
0.02        -1353409.30317621  -1353409.30317621   -1353432.2594056 IE: -6.9121674720  FE:  -6.9122847146
0.03        -1353409.30986505  -1353409.30986505  -1353432.26091309 IE: -6.9121675061  FE:  -6.9122847223
0.04        -1353409.30610202  -1353409.30610202  -1353432.26174529 IE: -6.9121674869  FE:  -6.9122847266
0.05        -1353409.30466008  -1353409.30466008  -1353432.26035511 IE: -6.9121674795  FE:  -6.9122847195
0.06        -1353409.30915978  -1353409.30915978  -1353432.25666685 IE: -6.9121675025  FE:  -6.9122847006
0.07        -1353409.32725235  -1353409.32725235  -1353432.24777618 IE: -6.9121675949  FE:  -6.9122846552
0.08         -1353409.2758055   -1353409.2758055  -1353432.23185987 IE: -6.9121673322  FE:  -6.9122845739
0.09        -1353409.27433639  -1353409.27433639  -1353432.20925374 IE: -6.9121673247  FE:  -6.9122844585
0.10         -1353409.2542267   -1353409.2542267  -1353432.17604303 IE: -6.9121672220  FE:  -6.9122842889
0.11        -1353409.20845484  -1353409.20845484   -1353432.1297827 IE: -6.9121669882  FE:  -6.9122840526
0.12        -1353409.14842157  -1353409.14842157  -1353432.06930863 IE: -6.9121666816  FE:  -6.9122837437
0.13        -1353409.04864151  -1353409.04864151  -1353431.99125121 IE: -6.9121661720  FE:  -6.9122833451
0.14        -1353408.97024461  -1353408.97024461   -1353431.8964407 IE: -6.9121657716  FE:  -6.9122828609
0.15        -1353408.83310414  -1353408.83310414  -1353431.78105023 IE: -6.9121650712  FE:  -6.9122822715
0.16        -1353408.71437287  -1353408.71437287  -1353431.64413077 IE: -6.9121644648  FE:  -6.9122815723
0.17        -1353408.57120911  -1353408.57120911  -1353431.48561141 IE: -6.9121637336  FE:  -6.9122807627
0.18        -1353408.37521634  -1353408.37521634  -1353431.29973448 IE: -6.9121627327  FE:  -6.9122798134
0.19         -1353408.1694992   -1353408.1694992   -1353431.0892499 IE: -6.9121616820  FE:  -6.9122787384
0.20        -1353407.92594009  -1353407.92594009  -1353430.85268876 IE: -6.9121604381  FE:  -6.9122775302
0.21        -1353407.66119431  -1353407.66119431  -1353430.58660941 IE: -6.9121590860  FE:  -6.9122761713
0.22        -1353407.38144574  -1353407.38144574  -1353430.29511928 IE: -6.9121576572  FE:  -6.9122746826
0.23        -1353407.05335656  -1353407.05335656  -1353429.97304867 IE: -6.9121559816  FE:  -6.9122730377
0.24        -1353406.71145921  -1353406.71145921  -1353429.62414245 IE: -6.9121542355  FE:  -6.9122712557
0.25        -1353406.32174148  -1353406.32174148  -1353429.24631754 IE: -6.9121522451  FE:  -6.9122693261
0.26        -1353405.92165066  -1353405.92165066  -1353428.84176676 IE: -6.9121502017  FE:  -6.9122672600
0.27        -1353405.49617812  -1353405.49617812  -1353428.41137239 IE: -6.9121480288  FE:  -6.9122650618
0.28        -1353405.04647478  -1353405.04647478  -1353427.95576448 IE: -6.9121457320  FE:  -6.9122627349
0.29         -1353404.5209221   -1353404.5209221  -1353427.47692968 IE: -6.9121430479  FE:  -6.9122602894
0.30        -1353404.06668682  -1353404.06668682  -1353426.97434422 IE: -6.9121407280  FE:  -6.9122577226
0.31        -1353403.53277591  -1353403.53277591  -1353426.45192526 IE: -6.9121380012  FE:  -6.9122550545
0.32        -1353403.01896792  -1353403.01896792  -1353425.91420787 IE: -6.9121353771  FE:  -6.9122523083
0.33        -1353402.45514442  -1353402.45514442  -1353425.36049973 IE: -6.9121324975  FE:  -6.9122494803
0.34        -1353401.86844337  -1353401.86844337  -1353424.79298218 IE: -6.9121295011  FE:  -6.9122465819
0.35        -1353401.30311009  -1353401.30311009  -1353424.21648146 IE: -6.9121266138  FE:  -6.9122436376
0.36        -1353400.72677277  -1353400.72677277  -1353423.63315197 IE: -6.9121236703  FE:  -6.9122406584
0.37        -1353400.13206332  -1353400.13206332  -1353423.04381509 IE: -6.9121206330  FE:  -6.9122376485
0.38        -1353399.56505833  -1353399.56505833  -1353422.45444027 IE: -6.9121177372  FE:  -6.9122346384
0.39        -1353398.94978939  -1353398.94978939  -1353421.86422244 IE: -6.9121145949  FE:  -6.9122316241
0.40        -1353398.37805473  -1353398.37805473  -1353421.28126007 IE: -6.9121116749  FE:  -6.9122286467
0.41        -1353397.79476876  -1353397.79476876  -1353420.70362181 IE: -6.9121086959  FE:  -6.9122256966
0.42         -1353397.2169875   -1353397.2169875  -1353420.13755337 IE: -6.9121057451  FE:  -6.9122228056
0.43        -1353396.67240308  -1353396.67240308  -1353419.58499717 IE: -6.9121029637  FE:  -6.9122199835
0.44        -1353396.13844767  -1353396.13844767  -1353419.05028183 IE: -6.9121002367  FE:  -6.9122172526
0.45        -1353395.62075954  -1353395.62075954  -1353418.53431091 IE: -6.9120975928  FE:  -6.9122146174
