0.02        -612001.195099236  -612001.195099236  -612001.273887972 IE: -6.6848116907  FE:  -6.6848125513
0.03        -612001.398859513  -612001.398859513  -612001.418718029 IE: -6.6848139164  FE:  -6.6848141333
0.04        -612001.676935311  -612001.676935311  -612001.713013084 IE: -6.6848169538  FE:  -6.6848173479
0.05        -612002.058763564  -612002.058763564  -612002.084753854 IE: -6.6848211244  FE:  -6.6848214083
0.06        -612002.509197613  -612002.509197613  -612002.539578116 IE: -6.6848260445  FE:  -6.6848263763
0.07        -612003.038712511  -612003.038712511  -612003.140010887 IE: -6.6848318283  FE:  -6.6848329348
0.08        -612003.665414844  -612003.665414844  -612003.678369451 IE: -6.6848386737  FE:  -6.6848388152
0.09         -612004.34795856   -612004.34795856  -612004.399237942 IE: -6.6848461290  FE:  -6.6848466891
0.10        -612005.128256836  -612005.128256836  -612005.182612156 IE: -6.6848546521  FE:  -6.6848552458
0.11        -612005.985613934  -612005.985613934   -612006.08497282 IE: -6.6848640169  FE:  -6.6848651022
0.12        -612006.902179118  -612006.902179118   -612006.94726145 IE: -6.6848740285  FE:  -6.6848745209
0.13        -612007.910561309  -612007.910561309  -612007.926338723 IE: -6.6848850429  FE:  -6.6848852152
0.14        -612009.003908851  -612009.003908851  -612009.063781861 IE: -6.6848969854  FE:  -6.6848976394
0.15        -612010.159787896  -612010.159787896  -612010.190211747 IE: -6.6849096109  FE:  -6.6849099432
0.16        -612011.394149151  -612011.394149151  -612011.412469313 IE: -6.6849230937  FE:  -6.6849232938
0.17        -612012.694057653  -612012.694057653  -612012.741009381 IE: -6.6849372924  FE:  -6.6849378053
0.18         -612014.07588448   -612014.07588448  -612014.136665025 IE: -6.6849523859  FE:  -6.6849530498
0.19        -612015.513717901  -612015.513717901  -612015.521157538 IE: -6.6849680912  FE:  -6.6849681725
0.20        -612017.022589592  -612017.022589592  -612017.082434128 IE: -6.6849845724  FE:  -6.6849852261
0.21        -612018.599302428  -612018.599302428   -612018.63820702 IE: -6.6850017947  FE:  -6.6850022196
0.22        -612020.227525547  -612020.227525547  -612020.238106887 IE: -6.6850195795  FE:  -6.6850196951
0.23        -612021.932500989  -612021.932500989  -612021.970023126 IE: -6.6850382028  FE:  -6.6850386126
0.24        -612023.698414999  -612023.698414999  -612023.774653163 IE: -6.6850574916  FE:  -6.6850583244
0.25        -612025.515188524  -612025.515188524  -612025.560879181 IE: -6.6850773360  FE:  -6.6850778351
0.26        -612027.391655071  -612027.391655071  -612027.404891568 IE: -6.6850978324  FE:  -6.6850979770
0.27        -612029.295131756  -612029.295131756    -612029.3990865 IE: -6.6851186238  FE:  -6.6851197593
0.28        -612031.265604356  -612031.265604356  -612031.409075762 IE: -6.6851401471  FE:  -6.6851417142
0.29        -612033.286203383  -612033.286203383  -612033.376698328 IE: -6.6851622178  FE:  -6.6851632063
0.30        -612035.359199976  -612035.359199976   -612035.45615605 IE: -6.6851848609  FE:  -6.6851859199
0.31        -612037.454216708  -612037.454216708  -612037.478238948 IE: -6.6852077445  FE:  -6.6852080069
0.32        -612039.606387893  -612039.606387893   -612039.61980576 IE: -6.6852312524  FE:  -6.6852313990
0.33        -612041.794511021  -612041.794511021  -612041.836437027 IE: -6.6852551530  FE:  -6.6852556109
0.34        -612044.017551939  -612044.017551939  -612044.030704856 IE: -6.6852794350  FE:  -6.6852795786
0.35        -612046.266925409  -612046.266925409  -612046.317221701 IE: -6.6853040046  FE:  -6.6853045540
0.36        -612048.548153387  -612048.548153387  -612048.581721024 IE: -6.6853289222  FE:  -6.6853292888
0.37         -612050.85714445   -612050.85714445  -612050.897536674 IE: -6.6853541430  FE:  -6.6853545842
0.38        -612053.199258956  -612053.199258956  -612053.264602709 IE: -6.6853797256  FE:  -6.6853804393
0.39        -612055.554445719  -612055.554445719  -612055.658833188 IE: -6.6854054510  FE:  -6.6854065912
0.40        -612057.921350593  -612057.921350593  -612057.939284319 IE: -6.6854313044  FE:  -6.6854315003
0.41        -612060.317802665  -612060.317802665  -612060.347444155 IE: -6.6854574806  FE:  -6.6854578043
0.42         -612062.72381297   -612062.72381297  -612062.735832673 IE: -6.6854837611  FE:  -6.6854838924
0.43        -612065.137986874  -612065.137986874   -612065.14845823 IE: -6.6855101308  FE:  -6.6855102452
0.44        -612067.564279146  -612067.564279146  -612067.595871716 IE: -6.6855366329  FE:  -6.6855369780
0.45        -612069.995276973  -612069.995276973  -612070.007310358 IE: -6.6855631864  FE:  -6.6855633178
0.46        -612072.420706339  -612072.420706339  -612072.438185349 IE: -6.6855896790  FE:  -6.6855898700
0.47        -612074.857054911  -612074.857054911  -612074.875799955 IE: -6.6856162910  FE:  -6.6856164957
0.48        -612077.286893803  -612077.286893803  -612077.356752429 IE: -6.6856428318  FE:  -6.6856435949
0.49        -612079.709212415  -612079.709212415  -612079.730586635 IE: -6.6856692905  FE:  -6.6856695239
0.50        -612082.127810116  -612082.127810116  -612082.139581772 IE: -6.6856957085  FE:  -6.6856958371
0.51        -612084.535065711  -612084.535065711  -612084.611091421 IE: -6.6857220027  FE:  -6.6857228331
0.52        -612086.934508133  -612086.934508133  -612086.952669456 IE: -6.6857482115  FE:  -6.6857484098
0.53        -612089.309372212  -612089.309372212  -612089.321907312 IE: -6.6857741518  FE:  -6.6857742887
0.54        -612091.674566693  -612091.674566693  -612091.683349428 IE: -6.6857999865  FE:  -6.6858000825
0.55        -612094.010758634  -612094.010758634  -612094.025817935 IE: -6.6858255045  FE:  -6.6858256689
0.56        -612096.330668464  -612096.330668464  -612096.335230854 IE: -6.6858508445  FE:  -6.6858508944
0.57        -612098.622831193  -612098.622831193  -612098.634865576 IE: -6.6858758815  FE:  -6.6858760130
0.58        -612100.888565851  -612100.888565851  -612100.918510441 IE: -6.6859006299  FE:  -6.6859009570
0.59        -612103.126273804  -612103.126273804  -612103.139638795 IE: -6.6859250721  FE:  -6.6859252181
0.60        -612105.332671487  -612105.332671487  -612105.352675456 IE: -6.6859491723  FE:  -6.6859493908
0.61        -612107.502267313  -612107.502267313   -612107.54558833 IE: -6.6859728705  FE:  -6.6859733437
0.62        -612109.641798268  -612109.641798268  -612109.643284573 IE: -6.6859962403  FE:  -6.6859962566
0.63        -612111.740084939  -612111.740084939  -612111.744684376 IE: -6.6860191596  FE:  -6.6860192099
0.64        -612113.796891198  -612113.796891198  -612113.801755697 IE: -6.6860416259  FE:  -6.6860416790
0.65         -612115.81641431   -612115.81641431  -612115.851319765 IE: -6.6860636849  FE:  -6.6860640661
0.66        -612117.786977864  -612117.786977864  -612117.794034985 IE: -6.6860852091  FE:  -6.6860852862
0.67        -612119.716528282  -612119.716528282  -612119.747754384 IE: -6.6861062853  FE:  -6.6861066264
0.68         -612121.59855674   -612121.59855674  -612121.603952536 IE: -6.6861268425  FE:  -6.6861269014
0.69        -612123.435314212  -612123.435314212  -612123.481474108 IE: -6.6861469052  FE:  -6.6861474094
0.70        -612125.216307824  -612125.216307824   -612125.22574916 IE: -6.6861663587  FE:  -6.6861664619
0.71        -612126.953325256  -612126.953325256  -612127.002561684 IE: -6.6861853319  FE:  -6.6861858698
0.72        -612128.633555114  -612128.633555114  -612128.641257606 IE: -6.6862036849  FE:  -6.6862037690
0.73        -612130.262818857  -612130.262818857   -612130.28643779 IE: -6.6862214811  FE:  -6.6862217391
0.74        -612131.839612365  -612131.839612365  -612131.868898301 IE: -6.6862387042  FE:  -6.6862390241
0.75        -612133.353821139  -612133.353821139  -612133.405509603 IE: -6.6862552438  FE:  -6.6862558083
0.76        -612134.820889081  -612134.820889081  -612134.899536906 IE: -6.6862712684  FE:  -6.6862721274
0.77        -612136.221893715  -612136.221893715  -612136.237376508 IE: -6.6862865714  FE:  -6.6862867405
0.78        -612137.569930522  -612137.569930522  -612137.634549199 IE: -6.6863012958  FE:  -6.6863020016
0.79        -612138.862357159  -612138.862357159  -612138.866141404 IE: -6.6863154128  FE:  -6.6863154541
0.80        -612140.092222932  -612140.092222932  -612140.111836441 IE: -6.6863288465  FE:  -6.6863290607
0.81        -612141.263248021  -612141.263248021  -612141.283368591 IE: -6.6863416374  FE:  -6.6863418572
0.82         -612142.37028657   -612142.37028657  -612142.385538643 IE: -6.6863537295  FE:  -6.6863538961
0.83        -612143.429166219  -612143.429166219  -612143.480354722 IE: -6.6863652955  FE:  -6.6863658546
0.85        -612145.361632694  -612145.361632694  -612145.377397929 IE: -6.6863864036  FE:  -6.6863865758
0.86        -612146.228776326  -612146.228776326  -612146.284044418 IE: -6.6863958753  FE:  -6.6863964790
0.87        -612147.040576623  -612147.040576623  -612147.064007878 IE: -6.6864047425  FE:  -6.6864049984
0.88        -612147.800407533  -612147.800407533  -612147.805351029 IE: -6.6864130420  FE:  -6.6864130960
0.89        -612148.488693792  -612148.488693792  -612148.513157099 IE: -6.6864205601  FE:  -6.6864208273
0.90         -612149.13866925   -612149.13866925  -612149.155452405 IE: -6.6864276597  FE:  -6.6864278430
0.91        -612149.713642351  -612149.713642351  -612149.714024016 IE: -6.6864339400  FE:  -6.6864339442
0.92        -612150.234555432  -612150.234555432  -612150.273503167 IE: -6.6864396299  FE:  -6.6864400553
0.93        -612150.713167255  -612150.713167255  -612150.721408463 IE: -6.6864448577  FE:  -6.6864449477
0.94        -612151.121770018  -612151.121770018  -612151.127746798 IE: -6.6864493208  FE:  -6.6864493861
0.95        -612151.483862247  -612151.483862247  -612151.527112627 IE: -6.6864532759  FE:  -6.6864537483
0.96        -612151.783904518  -612151.783904518  -612151.828124851 IE: -6.6864565532  FE:  -6.6864570362
0.97          -612152.0364905    -612152.0364905  -612152.165183099 IE: -6.6864593122  FE:  -6.6864607179
0.98        -612152.239997193  -612152.239997193  -612152.257854707 IE: -6.6864615351  FE:  -6.6864617301
0.99        -612152.398214578  -612152.398214578  -612152.511764237 IE: -6.6864632633  FE:  -6.6864645035
1.00          -612152.4944965    -612152.4944965  -612152.607824146 IE: -6.6864643149  FE:  -6.6864655528
1.01         -612152.55363359   -612152.55363359  -612152.605414898 IE: -6.6864649609  FE:  -6.6864655265
1.02        -612152.555695858  -612152.555695858  -612152.634511684 IE: -6.6864649834  FE:  -6.6864658443
1.03        -612152.521878988  -612152.521878988  -612152.536727181 IE: -6.6864646140  FE:  -6.6864647762
1.04        -612152.429330566  -612152.429330566  -612152.527469977 IE: -6.6864636031  FE:  -6.6864646751
1.05        -612152.310360141  -612152.310360141  -612152.373211185 IE: -6.6864623036  FE:  -6.6864629901
1.06        -612152.139168442  -612152.139168442   -612152.20115009 IE: -6.6864604337  FE:  -6.6864611107
1.07        -612151.939152963  -612151.939152963  -612151.963598175 IE: -6.6864582490  FE:  -6.6864585160
1.08          -612151.6946979    -612151.6946979  -612151.799917376 IE: -6.6864555788  FE:  -6.6864567281
1.09        -612151.406029733  -612151.406029733  -612151.410326734 IE: -6.6864524257  FE:  -6.6864524727
1.10        -612151.095483053  -612151.095483053  -612151.134956234 IE: -6.6864490337  FE:  -6.6864494648
1.11        -612150.751965698  -612150.751965698  -612150.777795379 IE: -6.6864452815  FE:  -6.6864455636
1.12        -612150.372524477  -612150.372524477  -612150.397546853 IE: -6.6864411369  FE:  -6.6864414102
1.13        -612149.958403574  -612149.958403574  -612149.993557221 IE: -6.6864366135  FE:  -6.6864369975
1.14        -612149.528921071  -612149.528921071  -612149.585160609 IE: -6.6864319223  FE:  -6.6864325366
1.15        -612149.063558626  -612149.063558626  -612149.119780737 IE: -6.6864268392  FE:  -6.6864274533
1.16        -612148.576456539  -612148.576456539  -612148.581928861 IE: -6.6864215187  FE:  -6.6864215785
1.17        -612148.066038095  -612148.066038095  -612148.067836385 IE: -6.6864159434  FE:  -6.6864159631
1.18        -612147.529952954  -612147.529952954  -612147.553857638 IE: -6.6864100879  FE:  -6.6864103490
1.19        -612146.981562997  -612146.981562997  -612147.074104049 IE: -6.6864040979  FE:  -6.6864051087
1.20        -612146.416735556  -612146.416735556  -612146.464991688 IE: -6.6863979283  FE:  -6.6863984554
1.21        -612145.835482146  -612145.835482146    -612145.8897359 IE: -6.6863915794  FE:  -6.6863921720
1.22        -612145.235234707  -612145.235234707  -612145.291621495 IE: -6.6863850229  FE:  -6.6863856388
